CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.0.1 b398"
LGOROWLENGTH	14
CREATED	"2019-05-31"  # Time: 0:03:14
INSTRUMENTATION	"i1Pro 2"
INSTRUMENT_SN	"1026221"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=no"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"no"
MEASUREMENT_CONDITION	"M0"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
# 
# RGB space for the RGB data in this file: 
# Profile name: 
RGB_PROFILE_NAME	"ProPhoto RGB"
# Profile path: 
RGB_PROFILE_PATH	"/Users/jpereira/Documents/BabelColor/Image profiles/ProPhoto RGB.icc"
# Rendering intent: 
RGB_PROFILE_INTENT	"Relative Colorimetric"
# Black Point Compensation (BPC) setting: 
RGB_PROFILE_BPC	"NO"
# Encoding format: 
RGB_ENCODING	"8 bit"
# 
KEYWORD	"SAMPLE_ID"
NUMBER_OF_FIELDS	10
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	140
BEGIN_DATA
62	G2	184.652	184.719	183.499	53.904309	55.945284	45.630228	79.583	-0.103	0.644
63	G3	140.64	140.931	140.605	33.039196	34.338482	28.250335	65.23	-0.252	0.145
64	G4	100.35	100.661	100.655	17.998993	18.722927	15.474311	50.361	-0.288	-0.057
65	G5	65.633	65.391	64.894	8.35767	8.640557	7.01981	35.283	0.231	0.461
66	G6	30.992	31.127	31.446	2.171705	2.260441	1.904264	16.799	-0.171	-0.389
67	G7	185.452	204.214	215.425	56.331372	63.960879	60.9115	83.945	-12.816	-8.425
68	G8	166.156	117.384	104.901	40.862123	30.926996	16.669758	62.446	37.433	17.904
69	G9	168.48	81.716	46.428	39.70699	22.827325	3.841102	54.894	66.412	50.289
70	G10	99.965	100.272	100.426	17.87613	18.593064	15.410962	50.208	-0.276	-0.165
71	H1	99.366	99.741	99.856	17.687266	18.409497	15.253925	49.989	-0.342	-0.153
72	H2	101.484	137.357	173.753	21.188041	28.850375	41.358991	60.649	-28.664	-26.709
73	H3	28.333	42.826	63.441	2.325671	3.416481	6.739296	21.64	-17.778	-21.873
74	H4	189.452	204.02	150.947	56.982684	64.512273	32.10183	84.232	-12.446	26.817
75	H5	20.888	20.926	21.667	1.067945	1.107177	0.973674	9.854	0.013	-0.954
76	H6	54.733	54.961	55.081	6.044561	6.29332	5.225254	30.141	-0.259	-0.161
77	H7	74.659	74.992	74.996	10.571799	11.011573	9.109083	39.6	-0.347	-0.076
78	H8	125.047	125.447	125.125	26.746628	27.829296	22.898305	59.734	-0.355	0.129
79	H9	171.766	171.266	170.936	47.285031	48.906175	40.159376	75.393	0.356	0.262
80	H10	215.419	215.963	214.047	71.18424	74.044732	60.211912	88.944	-0.449	0.887
81	I1	156.408	156.69	156.35	40.003806	41.565776	34.200785	70.571	-0.235	0.148
82	I2	184.751	112.945	33.59	47.850201	32.54818	2.144435	63.793	51.918	78.336
83	I3	218.545	181.355	58.448	67.960979	60.354891	5.814526	82.031	22.421	86.414
84	I4	21.061	21.129	22.013	1.084812	1.125759	1.001917	9.998	-0.024	-1.143
85	I5	240.52	241.396	237.261	86.800969	90.430072	72.478248	96.175	-0.732	1.876
